I_REGION,ID,C_NAME,LATITUDE,LONGITUDE
9,914,М.КРАСНОДОН ЛУГАНСЬКА ОБЛ.,48.29164,39.7357
9,915,КРЕМІНСЬКИЙ Р-Н ЛУГАНСЬКА ОБЛ.,49.05212,38.23752
9,916,М.ПЕРВОМАЙСЬК ЛУГАНСЬКА ОБЛ.,48.63004,38.54377
9,917,М.РУБІЖНЕ ЛУГАНСЬКА ОБЛ.,49.0158,38.37326
9,918,М.СВЕРДЛОВСЬК ЛУГАНСЬКА ОБЛ.,48.07166,39.65208
9,919,М.СЄВЕРОДОНЕЦЬК ЛУГАНСЬКА ОБЛ.,48.94086,38.49349
9,920,БІЛОВОДСЬКИЙ Р-Н ЛУГАНСЬКА ОБЛ.,49.21112,39.57964
9,921,БІЛОКУРАКИНСЬКИЙ Р-Н ЛУГАНСЬКА ОБЛ.,49.53462,38.72957
9,922,КРАСНОДОНСЬКИЙ Р-Н ЛУГАНСЬКА ОБЛ.,48.4936,39.50161
9,923,ПОПАСНЯНСЬКИЙ Р-Н ЛУГАНСЬКА ОБЛ.,48.63575,38.38236
9,924,М.ЛИСИЧАНСЬК ЛУГАНСЬКА ОБЛ.,48.89775,38.44967
9,925,МАРКІВСЬКИЙ Р-Н ЛУГАНСЬКА ОБЛ.,49.50142,39.80934
9,926,МІЛОВСЬКИЙ Р-Н ЛУГАНСЬКА ОБЛ.,49.37898,40.13768
9,927,НОВОАЙДАРСЬКИЙ Р-Н ЛУГАНСЬКА ОБЛ.,48.96293,39.01736
9,928,НОВОПСКОВСЬКИЙ Р-Н ЛУГАНСЬКА ОБЛ.,49.54137,39.09823
9,929,ПЕРЕВАЛЬСЬКИЙ Р-Н ЛУГАНСЬКА ОБЛ.,48.437,38.8078
9,930,СВАТІВСЬКИЙ Р-Н ЛУГАНСЬКА ОБЛ.,49.41172,38.14786
9,933,М.СТАХАНОВ ЛУГАНСЬКА ОБЛ.,48.56306,38.64199
9,934,СТАРОБІЛЬСЬКИЙ Р-Н ЛУГАНСЬКА ОБЛ.,49.27462,38.89941
9,935,ТРОЇЦЬКИЙ Р-Н ЛУГАНСЬКА ОБЛ.,49.91106,38.29811
9,950,М.КРАСНИЙ  ЛУЧ  ЛУГАНСЬКА ОБЛ.,48.12942,38.91933
12,1201,ЖОВТНЕВИЙ Р-Н М.ДНІПРОПЕТРОВСЬК,48.44963,34.77725
12,1202,КІРОВСЬКИЙ Р-Н М.ДНІПРОПЕТРОВСЬК,48.6089,35.1715
12,1203,КРАСНОГВАРДІЙСЬКИЙ Р-Н М.ДНІПРОПЕТР.,50.76861,38.46849
12,1204,ЛЕНІНСЬКИЙ Р-Н М.ДНІПРОПЕТРОВСЬК,47.7631,34.278
12,1205,АМУР-НИЖНЬОДНІПРОВСЬКИЙ Р-Н М.ДНІПРОПЕТР,50.22239,23.73748
12,1206,БАГЛІЙСЬКИЙ Р-Н М.ДНІПРОДЗЕР.ДНІП.ОБ.,48.77571,38.62855
12,1207,ДНІПРОВСЬКИЙ Р-Н М.ДНІПРОДЗЕР.ДНІП.ОБЛ.,48.77571,38.62855
12,1208,ЗАВОДСЬКИЙ Р-Н М.ДНІПРОДЗЕРЖ.ДНІПР.ОБЛ.,48.77571,38.62855
12,1209,ДЗЕРЖИНСЬКИЙ Р-Н М.КРИВИЙ РІГ ДНІПР.ОБЛ.,47.88311,33.30703
12,1210,ЖОВТНЕВИЙ Р-Н М.КРИВИЙ РІГ ДНІПР.ОБ.,46.42642,34.24824
12,1211,ЦЕНТРАЛЬНОМІСЬКИЙ Р-Н М.КРИВ.Р. ДНІПР..,46.42642,34.24824
12,1212,ІНГУЛЕЦЬКИЙ Р-Н М.КРИВИЙ Р.ДНІПР.ОБЛ.,48.28235,23.32853
12,1213,М.МАРГАНЕЦЬ ДНІПРОПЕТРОВСЬКА ОБЛ.,47.63278,34.62525
12,1214,М.НІКОПОЛЬ ДНІПРОПЕТРОВСЬКА ОБЛ.,47.56834,34.392
12,1215,М.НОВОМОСКОВСЬК ДНІПРОПЕТР.ОБЛ.,48.63639,35.24724
12,1216,М.ПАВЛОГРАД ДНІПРОПЕТРОВСЬКА ОБЛ.,48.52345,35.86858
12,1217,М.ЖОВТІ ВОДИ ДНІПРОПЕТР.ОБЛ.,48.34544,33.49723
12,1218,М.ОРЖОНІКІДЗЕ ДНІПРОПЕТРОВ.ОБЛ.,47.65457,34.10835
12,1219,ВАСИЛЬКІВСЬКИЙ Р-Н ДНІПРОПЕТР.ОБЛ.,48.21383,36.00535
12,1220,ВЕРХНЬОДНІПРОВСЬКИЙ Р-Н ДНІПР.ОБЛ,49.28358,27.48168
12,1221,АПОСТОЛІВСЬКИЙ Р-Н ДНІПРОПЕТР.ОБЛ.,47.66038,33.71323
12,1222,КРИНИЧАНСЬКИЙ Р-Н ДНІПРПЕТР.ОБЛ.,48.36926,34.45868
12,1223,МАГДАЛИНІВСЬКИЙ Р-Н ДНІПРОПЕТР.ОБЛ.,48.92112,34.91313
12,1224,МЕЖІВСЬКИЙ Р-Н ДНІПРОПЕТР.ОБЛ.,48.2576,36.72621
12,1225,ПАВЛОГРАДСЬКИЙ Р-Н ДНІПРОПЕТР.ОБЛ.,48.52285,35.87496
12,1226,НОВОМОСКОВСЬКИЙ Р-Н ДНІПРОПЕТРОВ.ОБЛ.,48.48976,35.07185
12,1227,НІКОПОЛЬСЬКИЙ Р-Н ДНІПРОПЕТР.ОБЛ.,47.56766,34.3922
12,1228,ПЕТРОПАВЛІВСЬКИЙ Р-Н ДНІПРОПЕТР.ОБЛ.,48.45742,36.42369
12,1229,ПОКРОВСЬКИЙ Р-Н ДНІПРОПЕТР.ОБЛ.,48.08151,36.41291
12,1230,П'ЯТИХАЦЬКИЙ Р-Н ДНІПРОПЕТР.ОБЛ.,48.41277,33.70709
12,1231,М.СИНЕЛЬНИКОВЕ ДНІПРОПЕТР.ОБЛ.,48.33964,35.51185
12,1232,СОЛОНЯНСЬКИЙ Р-Н ДНІПРОПЕТР.ОБЛ.,48.20757,34.87681
12,1233,СОФІЇВСЬКИЙ Р-Н ДНІПРОПЕТР.ОБЛ.,48.08737,33.91812
12,1234,ТОМАКІВСЬКИЙ Р-Н ДНІПРОПЕТР.ОБЛ.,47.80406,34.75018
12,1235,ЦАРИЧАНСЬКИЙ Р-Н ДНІПРОПЕТР.ОБЛ.,48.94466,34.49209
12,1236,ШИРОКІВСЬКИЙ Р-Н ДНІПРОПЕТР.ОБЛ.,47.68614,33.2646
12,1237,КРИВОРІЗЬКИЙ Р-Н ДНІПРОПЕТР.ОБЛ.,48.0598,33.28132
12,1238,ДНІПРОПЕТРОВСЬКИЙ Р-Н ДНІПРОПЕТР.ОБЛ.,48.36496,34.68115
12,1239,ІНДУСТРІАЛЬНИЙ Р-Н М.ДНІПРОПЕТРОВ.,47.96798,33.4695
12,1240,ТЕРНОВСЬКИЙ Р-Н М.КР.РІГ ДНІПРОПЕТР.ОБЛ,49.28358,27.48168
12,1241,БАБУШКІНСЬКИЙ Р-Н М.ДНІПРОПЕТРОВСЬК,48.47527,35.01603
12,1242,САКСАГАНСЬКИЙ Р-Н М.КР.РІГ ДНІПР.ОБЛ.,49.28358,27.48168
12,1243,САМАРСЬКИЙ Р-Н М.ДНІПРОПЕТРОВСЬК,48.45281,35.12517
12,1244,М.ВІЛЬНОГІРСЬК ДНІПРОПЕТРОВСЬК.ОБЛ.,48.47845,34.01934
12,1245,ЮР'ЇВСЬКИЙ Р-Н ДНІПРОПЕТРОВСЬК.ОБЛ,48.73731,36.01382
12,1246,ПЕТРИКІВСЬКИЙ Р-Н ДНІПРОПЕТРОВ.ОБЛ,48.71603,34.62712
12,1247,М.ІНГУЛЕЦЬ ДНІПРОПЕТРОВСЬКА ОБЛ.,47.68428,33.15676
12,1248,М.ПЕРШОТРАВНЕВСЬК ДНІПРОПЕТ.ОБЛ.,47.7575,34.38251
12,1249,ДОЛГІНЦЕВСЬКИЙ Р-Н М.КР.РІГ ДНІПРОПЕТ.ОБ,48.27393,37.20396
12,1250,М.ТЕРНІВКА ДНІПРОПЕТРОВСЬКА ОБЛ.,48.51457,36.07506
12,1251,СИНЕЛЬНИКІВСЬКИЙ Р-Н ДНІПР.ОБЛ.,48.48763,35.13928
13,1301,М.БОРИСЛАВ ЛЬВІВСЬКА ОБЛ.,49.2871,23.4154
13,1302,М.ДРОГОБИЧ ЛЬВІВСЬКА ОБЛ.,49.31544,23.50535
13,1303,М.САМБІР ЛЬВІВСЬКА ОБЛ.,49.51824,23.20598
13,1304,М.СТРИЙ ЛЬВІВСЬКА ОБЛ.,49.2635,23.84045
13,1305,М.ЧЕРВОНОГРАД ЛЬВІВСЬКА ОБЛ.,50.38541,24.22743
